,회사명,거래소코드,회계년도_x,상장일,상장폐지일,산업명,소속코드,[제조]매출액증가율,매출액증가율(IFRS연결)
113,(주)광무,29480,2018-12-01,1996-08-27,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",6,0,7.12
136,(주)국순당,43650,2011-12-01,2000-08-24,,  음료 제조업,5,0,9.2
137,(주)국순당,43650,2012-12-01,2000-08-24,,  음료 제조업,5,0,-7.04
156,(주)국전약품,307750,2020-12-01,2018-12-19,,  의료용 물질 및 의약품 제조업,5,0,806130.76
184,(주)금화피에스시,36190,2013-12-01,2000-12-26,,  전문직별 공사업,5,0,53.5
192,(주)기가레인,49080,2013-12-01,2013-12-19,,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",5,0,947819.34
212,(주)나노,187790,2015-12-01,2014-05-08,,  화학물질 및 화학제품 제조업; 의약품 제외,5,0,298918.1
230,(주)나노엔텍,39860,2011-12-01,2000-08-16,,"  의료, 정밀, 광학기기 및 시계 제조업",5,0,-13.2
231,(주)나노엔텍,39860,2012-12-01,2000-08-16,,"  의료, 정밀, 광학기기 및 시계 제조업",5,0,2.14
251,(주)나스미디어,89600,2016-12-01,2013-07-17,,  전문 서비스업,5,0,53.75
270,(주)나이스디앤비,130580,2015-12-01,2011-12-22,,  사업지원 서비스업,5,0,21.46
276,(주)나인테크,267320,2020-12-01,2017-06-22,,  기타 기계 및 장비 제조업,5,0,658558.1
277,(주)내츄럴엔도텍,168330,2013-12-01,2013-10-31,,  연구개발업,5,0,289.6
279,(주)내츄럴엔도텍,168330,2015-12-01,2013-10-31,,  연구개발업,5,0,-64.13
291,(주)네오리진,94860,2017-12-01,2007-04-16,,  출판업,5,0,-13.06
295,(주)네오셈,253590,2019-12-01,2018-04-04,,"  의료, 정밀, 광학기기 및 시계 제조업",5,0,272155.88
