,회사명,거래소코드,회계년도,매출액증가율(IFRS연결),유형자산증가율(IFRS연결),재고자산증가율(IFRS연결),비유동자산증가율(IFRS연결),유동자산증가율(IFRS연결),자기자본증가율(IFRS연결),총자본증가율(IFRS연결),순이익증가율(IFRS연결)
190,(주)그래디언트,35080,2012/12,5.985707338,20.45488752,-14.31579741,0.036054476,-13.59810056,20.61177124,-4.843819424,10000
191,(주)그래디언트,35080,2013/12,545.1696669,14.78343263,96.61170242,24.00741112,307.1286776,89.56853759,116.0182843,-39.00915308
192,(주)그래디언트,35080,2014/12,6.978464081,-2.560001961,17.47630309,25.51809717,16.72820154,19.73613822,20.13426448,9.790902599
193,(주)그래디언트,35080,2015/12,12.81715812,-1.869984804,72.4493885,-1.10822754,17.0594303,0.384902158,9.704012587,52.73960391
194,(주)그래디언트,35080,2016/12,8.734120431,0.701240576,-14.79937682,-14.42743364,5.812525698,-7.023387832,-1.574263006,10000
195,(주)그래디언트,35080,2017/12,-7.911951063,2.851412596,17.01960183,-12.65796353,-13.11968276,-11.66371828,-12.97317871,17.24482346
196,(주)그래디언트,35080,2018/12,-2.840059544,13.07449722,20.97702952,-4.692057984,2.609547716,-3.749864906,0.284346808,-87.89209169
197,(주)그래디언트,35080,2019/12,-0.830376404,102.1207777,-48.7637839,4.666661938,-4.371844905,-6.283523543,-1.636357302,-45.05370539
198,(주)그래디언트,35080,2020/12,-7.12491082,4.673004601,4.77214094,2.580031438,-15.908325,-8.932801827,-9.954307057,565.1428522
199,(주)그리티,204020,2010/12,-99.99968446,10000,10000,10000,10000,10000,10000,10000
200,(주)그리티,204020,2011/12,0,10000,10000,10000,10000,10000,10000,10000
201,(주)그리티,204020,2012/12,0,10000,10000,10000,10000,10000,10000,10000
