[제조]유동자산구성비율,[제조]순운전자본회전률,[제조]매입채무회전기간,[제조]부채비율,[제조]매출채권회전률,[제조]비유동자산증가율,[제조]매출액순이익률,[제조]자기자본순이익률,[제조]자본분배율,year,label
33.86,0.85,18.39,32.43,7.11,15.59,-4.82,-5.0,-0.73,2016,0
51.68,1.67,15.03,109.32,6.69,-4.84,-1.51,0.94,26.09,2013,0
54.15,1.97,35.6,116.46,9.27,27.43,-2.36,-7.95,2.68,2012,0
46.02,1.4,0.0,10.18,10.41,117.43,26.6,25.39,50.64,2012,0
10.92,1.09,21.43,38.27,11.04,12.5,8.07,3.56,29.02,2017,0
39.81,0.82,28.46,112.25,9.75,11.89,-4.65,-6.86,25.52,2017,0
89.64,0.9,53.03,36.99,4.42,96.47,9.92,13.46,50.43,2014,0
86.81,0.77,69.75,27.34,3.49,14.38,4.8,5.43,29.19,2015,0
45.24,1.46,28.16,32.18,11.64,20.02,4.66,5.18,41.1,2011,0
17.29,1.43,38.73,62.2,21.96,0.54,5.93,4.0,41.39,2016,0
15.73,1.94,36.08,64.19,34.63,3.35,4.02,3.11,40.78,2018,0
60.94,0.59,49.93,22.53,3.57,9.6,4.21,2.3,43.59,2013,0
54.38,0.97,54.78,114.65,5.18,10.84,-0.9,-1.67,24.44,2012,0
59.75,0.89,8.83,54.77,4.97,89.38,17.58,15.85,74.42,2012,0
38.31,1.41,14.15,30.68,6.88,26.07,4.12,4.46,36.25,2016,0
